loss,params,iteration,estimators,train_time
1.0,"{'colsample_bytree': 0.9418507446378913, 'learning_rate': 0.018675872988718433, 'min_child_samples': 170, 'num_leaves': 405, 'reg_alpha': 0.5985119228590867, 'reg_lambda': 0.5845451820124326, 'subsample_for_bin': 200000}",1,1,0.8893546
0.37616162652043195,"{'colsample_bytree': 0.9178200671760697, 'learning_rate': 0.035742378218536576, 'min_child_samples': 45, 'num_leaves': 450, 'reg_alpha': 0.5005020213127344, 'reg_lambda': 0.45121616279208887, 'subsample_for_bin': 170000}",2,369,3.4762698
0.6226120118246217,"{'colsample_bytree': 0.9302193122215846, 'learning_rate': 0.05565441586040854, 'min_child_samples': 125, 'num_leaves': 310, 'reg_alpha': 0.8878029074840853, 'reg_lambda': 0.9836336562472392, 'subsample_for_bin': 150000}",3,427,3.184375599999999
1.0,"{'colsample_bytree': 0.9320370662714172, 'learning_rate': 0.07866054762015, 'min_child_samples': 415, 'num_leaves': 375, 'reg_alpha': 0.47827923423293384, 'reg_lambda': 0.0627262749115356, 'subsample_for_bin': 90000}",4,1,0.8373199000000007
1.0,"{'colsample_bytree': 0.9993498466798588, 'learning_rate': 0.017934544496484815, 'min_child_samples': 260, 'num_leaves': 25, 'reg_alpha': 0.2092981310373776, 'reg_lambda': 0.8946886330215067, 'subsample_for_bin': 10000}",5,1,0.6114391000000001
1.0,"{'colsample_bytree': 0.999376335560745, 'learning_rate': 0.08783831758750019, 'min_child_samples': 230, 'num_leaves': 80, 'reg_alpha': 0.16571225625681618, 'reg_lambda': 0.43702345115978314, 'subsample_for_bin': 80000}",6,1,0.6475574999999996
1.0,"{'colsample_bytree': 0.8255348020501403, 'learning_rate': 0.019312347539552403, 'min_child_samples': 175, 'num_leaves': 350, 'reg_alpha': 0.7926928706035059, 'reg_lambda': 0.37338116932867904, 'subsample_for_bin': 130000}",7,1,0.7952665000000003
1.0,"{'colsample_bytree': 0.6249338478686369, 'learning_rate': 0.09300560371484937, 'min_child_samples': 175, 'num_leaves': 165, 'reg_alpha': 0.3479679339377224, 'reg_lambda': 0.7792709409751215, 'subsample_for_bin': 60000}",8,1,0.6956762000000012
1.0,"{'colsample_bytree': 0.9432751387270009, 'learning_rate': 0.040118914534607024, 'min_child_samples': 475, 'num_leaves': 185, 'reg_alpha': 0.8695100073452218, 'reg_lambda': 0.44076667329472063, 'subsample_for_bin': 110000}",9,1,0.7120309999999996
1.0,"{'colsample_bytree': 0.634055581772665, 'learning_rate': 0.017532163285674928, 'min_child_samples': 420, 'num_leaves': 40, 'reg_alpha': 0.78739503162987, 'reg_lambda': 0.5520827853417427, 'subsample_for_bin': 150000}",10,1,0.6050673000000018
1.0,"{'colsample_bytree': 0.9765210540364683, 'learning_rate': 0.048936410244575575, 'min_child_samples': 410, 'num_leaves': 430, 'reg_alpha': 0.17616663325172033, 'reg_lambda': 0.7234573267040174, 'subsample_for_bin': 120000}",11,1,0.8450472000000016
1.0,"{'colsample_bytree': 0.812601608139505, 'learning_rate': 0.19551187838964745, 'min_child_samples': 435, 'num_leaves': 85, 'reg_alpha': 0.2878847550683644, 'reg_lambda': 0.01708657132205149, 'subsample_for_bin': 160000}",12,1,0.6439657000000008
0.386228030939191,"{'colsample_bytree': 0.9523799711216276, 'learning_rate': 0.055447027994085955, 'min_child_samples': 65, 'num_leaves': 150, 'reg_alpha': 0.9748302452710026, 'reg_lambda': 0.23383881520136884, 'subsample_for_bin': 30000}",13,220,2.3691140000000015
1.0,"{'colsample_bytree': 0.7793457880978039, 'learning_rate': 0.019199675385015214, 'min_child_samples': 225, 'num_leaves': 310, 'reg_alpha': 0.1916434813532829, 'reg_lambda': 0.6896940625642513, 'subsample_for_bin': 130000}",14,1,0.8303542999999998
1.0,"{'colsample_bytree': 0.6168746718556931, 'learning_rate': 0.03565154266775181, 'min_child_samples': 225, 'num_leaves': 180, 'reg_alpha': 0.41007410794253185, 'reg_lambda': 0.45276116373350317, 'subsample_for_bin': 190000}",15,1,0.6984549999999992
1.0,"{'colsample_bytree': 0.8482706737493708, 'learning_rate': 0.17232942613953312, 'min_child_samples': 485, 'num_leaves': 370, 'reg_alpha': 0.010598426894564361, 'reg_lambda': 0.7063665010867298, 'subsample_for_bin': 70000}",16,1,0.8619339000000004
1.0,"{'colsample_bytree': 0.9535956259594713, 'learning_rate': 0.011767912024933956, 'min_child_samples': 110, 'num_leaves': 360, 'reg_alpha': 0.3369787449812449, 'reg_lambda': 0.5773835691302064, 'subsample_for_bin': 20000}",17,1,0.8485446999999979
